w and h;memory;operations
1401;41368728;210596919
1402;41431904;208844724
1403;41495128;210200266
1404;41558400;210751632
1405;41621720;211949870
1406;41685088;210722844
1407;41748504;211728174
1408;41811968;211813888
1409;41875480;213421230
1410;41939040;212611080
1411;42002648;213944286
1412;42066304;213483104
1413;42130008;214192431
1414;42193760;214034352
1415;42257560;215203105
1416;42321408;214996944
1417;42385304;217030554
1418;42449248;216520092
1419;42513240;216467031
1420;42577280;216907840
1421;42641368;218249969
1422;42705504;217921500
1423;42769688;218039175
1424;42833920;218054272
1425;42898200;220010025
1426;42962528;219421472
1427;43026904;220224629
1428;43091328;220254720
1429;43155800;221812238
1430;43220320;221283920
1431;43284888;222466122
1432;43349504;221029200
1433;43414168;222870191
1434;43478880;222370380
1435;43543640;223702150
1436;43608448;223407136
1437;43673304;224380365
1438;43738208;223655016
1439;43803160;224619266
1440;43868160;224899200
1441;43933208;227127538
1442;43998304;226342088
1443;44063448;227133972
1444;44128640;226627136
1445;44193880;228002215
1446;44259168;227849112
1447;44324504;228698350
1448;44389888;228207696
1449;44455320;229944708
1450;44520800;229842400
1451;44586328;230563900
1452;44651904;229866120
1453;44717528;231959826
1454;44783200;231258700
1455;44848920;231429390
1456;44914688;231241920
1457;44980504;233860156
1458;45046368;232539336
1459;45112280;233819340
1460;45178240;233518240
1461;45244248;235069056
1462;45310304;233645144
1463;45376408;235051432
1464;45442560;235988016
1465;45508760;237209870
1466;45575008;236067048
1467;45641304;236949840
1468;45707648;236946944
1469;45774040;238139590
1470;45840480;238345800
1471;45906968;239341997
1472;45973504;238472832
1473;46040088;240424533
1474;46106720;239017944
1475;46173400;240200800
1476;46240128;240753312
1477;46306904;242213230
1478;46373728;241336708
1479;46440600;241665642
1480;46507520;241840880
1481;46574488;243928105
1482;46641504;243077640
1483;46708568;244198195
1484;46775680;243604536
1485;46842840;245442285
1486;46910048;244958184
1487;46977304;245542362
1488;47044608;245097408
1489;47111960;247835116
1490;47179360;246839360
1491;47246808;247674483
1492;47314304;246914064
1493;47381848;248715884
1494;47449440;248314752
1495;47517080;249250885
1496;47584768;249269504
1497;47652504;250308879
1498;47720288;249315136
1499;47788120;250665778
1500;47856000;250863000
1501;47923928;253173670
1502;47991904;251981528
1503;48059928;252107208
1504;48128000;252067392
1505;48196120;254266740
1506;48264288;253995936
1507;48332504;254762871
1508;48400768;254845968
1509;48469080;255890184
1510;48537440;254640360
1511;48605848;256351727
1512;48674304;255863664
1513;48742808;258800163
1514;48811360;257634352
1515;48879960;258281745
1516;48948608;257337968
1517;49017304;259126355
1518;49086048;259447452
1519;49154840;260169763
1520;49223680;259941280
1521;49292568;261593748
1522;49361504;260852536
1523;49430488;261506715
1524;49499520;261637272
1525;49568600;263378175
1526;49637728;262713108
1527;49706904;263967909
1528;49776128;262959632
1529;49845400;265159180
1530;49914720;264904200
1531;49984088;266064835
1532;50053504;265256608
1533;50122968;266384811
1534;50192480;265725616
1535;50262040;267040880
1536;50331648;267110400
1537;50401304;269356176
1538;50471008;267815016
1539;50540760;268517025
1540;50610560;268834720
1541;50680408;271553479
1542;50750304;270315684
1543;50820248;271043380
1544;50890240;270947296
1545;50960280;272658510
1546;51030368;271047812
1547;51100504;272697425
1548;51170688;273475872
1549;51240920;274595877
1550;51311200;273451000
1551;51381528;274765854
1552;51451904;273986976
1553;51522328;276437106
1554;51592800;275906484
1555;51663320;277133655
1556;51733888;276622568
1557;51804504;277919829
1558;51875168;277327116
1559;51945880;278364127
1560;52016640;278279040
1561;52087448;281243809
1562;52158304;279738580
1563;52229208;280325613
1564;52300160;279780832
1565;52371160;281645225
1566;52442208;281206620
1567;52513304;282404740
1568;52584448;282048704
1569;52655640;284751534
1570;52726880;283061580
1571;52798168;284531665
1572;52869504;284437680
1573;52940888;286391391
1574;53012320;286036724
1575;53083800;285451425
1576;53155328;286261488
1577;53226904;287520217
1578;53298528;287909256
1579;53370200;288199080
1580;53441920;287490480
1581;53513688;289835244
1582;53585504;288746640
1583;53657368;290279459
1584;53729280;290334528
1585;53801240;292438840
1586;53873248;290396600
1587;53945304;292301595
1588;54017408;291337656
1589;54089560;293294442
1590;54161760;293456760
1591;54234008;294382730
1592;54306304;294036032
1593;54378648;295706997
1594;54451040;294756104
1595;54523480;295728950
1596;54595968;296310168
1597;54668504;298337167
1598;54741088;296949948
1599;54813720;298063194
1600;54886400;297459200
1601;54959128;300184298
1602;55031904;298680084
1603;55104728;300120072
1604;55177600;300108400
1605;55250520;301022565
1606;55323488;299942984
1607;55396504;301997082
1608;55469568;301618992
1609;55542680;304031813
1610;55615840;302783040
1611;55689048;304775424
1612;55762304;303536376
1613;55835608;305555429
1614;55908960;305081508
1615;55982360;305433645
1616;56055808;305840928
1617;56129304;307831524
1618;56202848;307164356
1619;56276440;307546859
1620;56350080;308030040
1621;56423768;310693828
1622;56497504;308806092
1623;56571288;309446049
1624;56645120;308891296
1625;56719000;311678250
1626;56792928;311248920
1627;56866904;311759232
1628;56940928;311931312
1629;57015000;313160589
1630;57089120;312226500
1631;57163288;313975655
1632;57237504;313605120
1633;57311768;316519491
1634;57386080;315728016
1635;57460440;316114170
1636;57534848;315231024
1637;57609304;317253874
1638;57683808;317123352
1639;57758360;319157553
1640;57832960;318691360
1641;57907608;319942488
1642;57982304;319148972
1643;58057048;320012039
1644;58131840;320468208
1645;58206680;322030135
1646;58281568;321852256
1647;58356504;321818859
1648;58431488;321854400
1649;58506520;324073023
1650;58581600;323697000
1651;58656728;325192517
1652;58731904;324429672
1653;58807128;325634388
1654;58882400;324627272
1655;58957720;326119405
1656;59033088;326026656
1657;59108504;328205304
1658;59183968;327007340
1659;59259480;328160154
1660;59335040;328032600
1661;59410648;329939379
1662;59486304;329641080
1663;59562008;330682561
1664;59637760;330294016
1665;59713560;332210790
1666;59789408;330687672
1667;59865304;332804881
1668;59941248;332308968
1669;60017240;334651190
1670;60093280;333545760
1671;60169368;334604382
1672;60245504;333714480
1673;60321688;336281365
1674;60397920;336092328
1675;60474200;337050200
1676;60550528;337140808
1677;60626904;338041275
1678;60703328;337848520
1679;60779800;338202649
1680;60856320;339027360
1681;60932888;342137292
1682;61009504;340652096
1683;61086168;341033022
1684;61162880;341252496
1685;61239640;342572295
1686;61316448;342069168
1687;61393304;343264012
1688;61470208;343443856
1689;61547160;344907312
1690;61624160;343698680
1691;61701208;345819646
1692;61778304;345343968
1693;61855448;347721884
1694;61932640;346284092
1695;62009880;347939430
1696;62087168;346560640
1697;62164504;349724548
1698;62241888;349475568
1699;62319320;349869973
1700;62396800;350278200
1701;62474328;351765099
1702;62551904;351228124
1703;62629528;352054378
1704;62707200;352376976
1705;62784920;354305820
1706;62862688;353936996
1707;62940504;353874756
1708;63018368;353323712
1709;63096280;355818927
1710;63174240;355594500
1711;63252248;357467253
1712;63330304;356568512
1713;63408408;358325340
1714;63486560;356775956
1715;63564760;358435000
1716;63643008;359014656
1717;63721304;361435368
1718;63799648;360103108
1719;63878040;360489771
1720;63956480;359937520
1721;64034968;362721402
1722;64113504;361664772
1723;64192088;363654657
1724;64270720;362933032
1725;64349400;364188900
1726;64428128;364041016
1727;64506904;365236322
1728;64585728;365810688
1729;64664600;368282187
1730;64743520;367742640
1731;64822488;367622856
1732;64901504;367170144
1733;64980568;369139398
1734;65059680;369248364
1735;65138840;369974870
1736;65218048;369691616
1737;65297304;372327687
1738;65376608;370402560
1739;65455960;372389460
1740;65535360;372711480
1741;65614808;375338708
1742;65694304;373456928
1743;65773848;374124492
1744;65853440;374377504
1745;65933080;376071930
1746;66012768;375704280
1747;66092504;377098685
1748;66172288;376501720
1749;66252120;378347178
1750;66332000;377909000
1751;66411928;379905715
1752;66491904;378596688
1753;66571928;381487860
1754;66652000;380565380
1755;66732120;380617380
1756;66812288;381357544
1757;66892504;382368882
1758;66972768;382653312
1759;67053080;382818206
1760;67133440;383525120
1761;67213848;385930194
1762;67294304;384105428
1763;67374808;385531077
1764;67455360;386852256
1765;67535960;388677710
1766;67616608;386898812
1767;67697304;387718674
1768;67778048;388129040
1769;67858840;390129953
1770;67939680;390047820
1771;68020568;391369748
1772;68101504;391541120
1773;68182488;392029803
1774;68263520;391472128
1775;68344600;392665500
1776;68425728;392716224
1777;68506904;395705914
1778;68588128;394175488
1779;68669400;395686959
1780;68750720;394376800
1781;68832088;396539650
1782;68913504;397050984
1783;68994968;398099325
1784;69076480;397443088
1785;69158040;399454440
1786;69239648;398835232
1787;69321304;399428453
1788;69403008;400039968
1789;69484760;402109952
1790;69566560;401056660
1791;69648408;402389343
1792;69730304;401261056
1793;69812248;404595829
1794;69894240;404033916
1795;69976280;404892765
1796;70058368;404351440
1797;70140504;405654780
1798;70222688;404607536
1799;70304920;406577598
1800;70387200;407131200
1801;70469528;410365054
1802;70551904;408311576
1803;70634328;409015959
1804;70716800;407855536
1805;70799320;411132070
1806;70881888;410951688
1807;70964504;412415224
1808;71047168;412542208
1809;71129880;413957088
1810;71212640;412846520
1811;71295448;414586797
1812;71378304;414516744
1813;71461208;416835895
1814;71544160;416207788
1815;71627160;416001630
1816;71710208;416753840
1817;71793304;418545950
1818;71876448;418583592
1819;71959640;419057582
1820;72042880;419742960
1821;72126168;421922058
1822;72209504;419304148
1823;72292888;420635374
1824;72376320;421314816
1825;72459800;424600850
1826;72543328;423478616
1827;72626904;424519893
1828;72710528;424724832
1829;72794200;426242963
1830;72877920;426474180
1831;72961688;427128356
1832;73045504;427002560
1833;73129368;428219961
1834;73213280;428338036
1835;73297240;429230355
1836;73381248;429275160
1837;73465304;431823590
1838;73549408;430952184
1839;73633560;431447790
1840;73717760;430869120
1841;73802008;433931064
1842;73886304;433102092
1843;73970648;434328752
1844;74055040;434110792
1845;74139480;435562065
1846;74223968;435264648
1847;74308504;436316810
1848;74393088;436656528
1849;74477720;440012077
1850;74562400;438734900
1851;74647128;440104866
1852;74731904;438668424
1853;74816728;440434011
1854;74901600;440877492
1855;74986520;441775670
1856;75071488;442036096
1857;75156504;444088551
1858;75241568;442111100
1859;75326680;443845545
1860;75411840;445540680
1861;75497048;447639357
1862;75582304;446097960
1863;75667608;447798132
1864;75752960;447345088
1865;75838360;448674240
1866;75923808;448410996
1867;76009304;450059020
1868;76094848;449978784
1869;76180440;450359847
1870;76266080;450954240
1871;76351768;452329218
1872;76437504;452409984
1873;76523288;455004144
1874;76609120;453777856
1875;76695000;454168125
1876;76780928;454014512
1877;76866904;457073901
1878;76952928;455861964
1879;77039000;456875092
1880;77125120;456633200
1881;77211288;459383463
1882;77297504;459087552
1883;77383768;459231689
1884;77470080;460494816
1885;77556440;461696820
1886;77642848;461858768
1887;77729304;460962021
1888;77815808;461563136
1889;77902360;464429540
1890;77988960;463892940
1891;78075608;466816042
1892;78162304;465768776
1893;78249048;467014458
1894;78335840;465325496
1895;78422680;467439650
1896;78509568;467106144
1897;78596504;470713992
1898;78683488;469819532
1899;78770520;470283552
1900;78857600;469167000
1901;78944728;472672244
1902;79031904;472099224
1903;79119128;472248480
1904;79206400;473479104
1905;79293720;475129860
1906;79381088;473168312
1907;79468504;475035607
1908;79555968;475996392
1909;79643480;477690979
1910;79731040;477446520
1911;79818648;478661547
1912;79906304;478428288
1913;79994008;479254325
1914;80081760;480322128
1915;80169560;481591860
1916;80257408;480256896
1917;80345304;481828365
1918;80433248;481671176
1919;80521240;483695464
1920;80609280;483479040
1921;80697368;486877450
1922;80785504;484997480
1923;80873688;485676726
1924;80961920;485598360
1925;81050200;487271400
1926;81138528;488834208
1927;81226904;489207490
1928;81315328;488740288
1929;81403800;490741458
1930;81492320;489579240
1931;81580888;491559222
1932;81669504;491353968
1933;81758168;494594777
1934;81846880;493030752
1935;81935640;493121205
1936;82024448;493323776
1937;82113304;496433730
1938;82202208;496438080
1939;82291160;497120820
1940;82380160;497373320
1941;82469208;499293135
1942;82558304;497917148
1943;82647448;498937141
1944;82736640;499817952
1945;82825880;503076195
1946;82915168;501207868
1947;83004504;502386357
1948;83093888;502233360
1949;83183320;503613804
1950;83272800;503766900
1951;83362328;506054282
1952;83451904;505076096
1953;83541528;507735081
1954;83631200;506914496
1955;83720920;507527775
1956;83810688;508610856
1957;83900504;510953130
1958;83990368;509972848
1959;84080280;510431163
1960;84170240;509258960
1961;84260248;513838869
1962;84350304;512909964
1963;84440408;513412835
1964;84530560;514159488
1965;84620760;514963620
1966;84711008;513790508
1967;84801304;515338264
1968;84891648;515804928
1969;84982040;519457642
1970;85072480;518137580
1971;85162968;519143661
1972;85253504;518525568
1973;85344088;520242613
1974;85434720;520879380
1975;85525400;522533650
1976;85616128;522201472
1977;85706904;523266429
1978;85797728;521839916
1979;85888600;523928376
1980;85979520;524763360
1981;86070488;528425807
1982;86161504;526145684
1983;86252568;526857321
1984;86343680;526787712
1985;86434840;530042640
1986;86526048;528589788
1987;86617304;530395871
1988;86708608;531006728
1989;86799960;532427454
1990;86891360;532416540
1991;86982808;533124097
1992;87074304;533983488
1993;87165848;536061196
1994;87257440;534810740
1995;87349080;535330320
1996;87440768;535598656
1997;87532504;537077174
1998;87624288;537450012
1999;87716120;539016357
2000;87808000;538560000
2001;87899928;540698214
2002;87991904;539819280
2003;88083928;543103435
2004;88176000;541621080
2005;88268120;544076800
2006;88360288;543429412
2007;88452504;543979287
2008;88544768;543019424
2009;88637080;545752886
2010;88729440;547013460
2011;88821848;547571168
2012;88914304;547404840
2013;89006808;548073471
2014;89099360;548158436
2015;89191960;549389750
2016;89284608;550759104
2017;89377304;553866183
2018;89470048;551571868
2019;89562840;552644718
2020;89655680;552304360
2021;89748568;555643635
2022;89841504;555152232
2023;89934488;555469271
2024;90027520;556575712
2025;90120600;557403525
2026;90213728;557526836
2027;90306904;558093910
2028;90400128;558681552
2029;90493400;562110102
2030;90586720;560629160
2031;90680088;562676364
2032;90773504;559954176
2033;90866968;563511006
2034;90960480;563316300
2035;91054040;564364515
2036;91147648;565177312
2037;91241304;566459145
2038;91335008;565703964
2039;91428760;566477019
2040;91522560;567503520
2041;91616408;571071800
2042;91710304;569387196
2043;91804248;570064419
2044;91898240;569323496
2045;91992280;571896520
2046;92086368;571537824
2047;92180504;573366747
2048;92274688;574521344
2049;92373018;575783343
2050;92471400;573680200
2051;92569834;576755557
2052;92668320;576607896
2053;92766858;579379183
2054;92865448;578028464
2055;92964090;579470955
2056;93062784;577382368
2057;93161530;581125127
2058;93260328;581504364
2059;93359178;583287933
2060;93458080;582436160
2061;93557034;584134803
2062;93656040;583071740
2063;93755098;584220970
2064;93854208;585705408
2065;93953370;588743890
2066;94052584;587305952
2067;94151850;588005691
2068;94251168;588395632
2069;94350538;589733277
2070;94449960;590417820
2071;94549434;592730555
2072;94648960;591709328
2073;94748538;594092778
2074;94848168;592417360
2075;94947850;593667875
2076;95047584;594392016
2077;95147370;597463589
2078;95247208;595779224
2079;95347098;596007720
2080;95447040;597638080
2081;95547034;601269573
2082;95647080;599474424
2083;95747178;600445580
2084;95847328;600717168
2085;95947530;602296035
2086;96047784;600901504
2087;96148090;603366309
2088;96248448;603979056
2089;96348858;607149049
2090;96449320;605598400
2091;96549834;607429227
2092;96650400;606211392
2093;96751018;608897653
2094;96851688;609885876
2095;96952410;609339130
2096;97053184;609043104
2097;97154010;612078651
2098;97254888;610681644
2099;97355818;611944559
2100;97456800;613179000
2101;97557834;617645677
2102;97658920;615650576
2103;97760058;614946642
2104;97861248;614965536
2105;97962490;617305985
2106;98063784;617891976
2107;98165130;620305014
2108;98266528;620085064
2109;98367978;620655501
2110;98469480;620036160
2111;98571034;622772443
2112;98672640;622427520
2113;98774298;626041753
2114;98876008;624670088
2115;98977770;625894065
2116;99079584;624964832
2117;99181450;627461864
2118;99283368;628236924
2119;99385338;628503876
2120;99487360;629830800
2121;99589434;631918014
2122;99691560;629890236
2123;99793738;631471489
2124;99895968;632811816
2125;99998250;635298500
2126;100100584;633951940
2127;100202970;634501116
2128;100305408;634101440
2129;100407898;637652532
2130;100510440;637266180
2131;100613034;639295738
2132;100715680;638431664
2133;100818378;640128231
2134;100921128;639397616
2135;101023930;641623010
2136;101126784;641517696
2137;101229690;644626050
2138;101332648;643341304
2139;101435658;643528845
2140;101538720;644679280
2141;101641834;646395733
2142;101745000;646502724
2143;101848218;648962547
2144;101951488;648041152
2145;102054810;650376870
2146;102158184;650229416
2147;102261610;651262392
2148;102365088;651673128
2149;102468618;654632678
2150;102572200;653161400
2151;102675834;654828930
2152;102779520;652520832
2153;102883258;656100914
2154;102987048;656539200
2155;103090890;657162940
2156;103194784;657692112
2157;103298730;660648117
2158;103402728;658237476
2159;103506778;659928576
2160;103610880;660666240
2161;103715034;665512365
2162;103819240;663132964
2163;103923498;663909057
2164;104027808;663317936
2165;104132170;665821935
2166;104236584;665949696
2167;104341050;667236636
2168;104445568;667158640
2169;104550138;669416301
2170;104654760;668494540
2171;104759434;672202388
2172;104864160;671634528
2173;104968938;673940739
2174;105073768;673726948
2175;105178650;672921075
2176;105283584;673280512
2177;105388570;676539759
2178;105493608;675532836
2179;105598698;678337953
2180;105703840;676580440
2181;105809034;679861320
2182;105914280;677380080
2183;106019578;679198973
2184;106124928;680857632
2185;106230330;684680675
2186;106335784;682604732
2187;106441290;682997913
2188;106546848;683251136
2189;106652458;686047923
2190;106758120;686148900
2191;106863834;687060353
2192;106969600;687617248
2193;107075418;689722623
2194;107181288;688262188
2195;107287210;689278290
2196;107393184;690567336
2197;107499210;694594732
2198;107605288;693385476
2199;107711418;694138539
2200;107817600;692150800
2201;107923834;697543121
2202;108030120;696144684
2203;108136458;697456582
2204;108242848;697596856
2205;108349290;698451390
2206;108455784;698679908
2207;108562330;699795560
2208;108668928;700527744
2209;108775578;705028858
2210;108882280;703504880
2211;108989034;705269202
2212;109095840;703747800
2213;109202698;706066502
2214;109309608;706049028
2215;109416570;708117780
2216;109523584;707373792
2217;109630650;709861230
2218;109737768;708384840
2219;109844938;710352937
2220;109952160;711141480
2221;110059434;714535678
2222;110166760;713501976
2223;110274138;713651913
2224;110381568;714402176
2225;110489050;717328875
2226;110596584;716104200
2227;110704170;718893416
2228;110811808;718521088
2229;110919498;719146728
2230;111027240;717988640
2231;111135034;720579535
2232;111242880;721601136
2233;111350778;725512865
2234;111458728;724213652
2235;111566730;724075185
2236;111674784;722719920
2237;111782890;726810248
2238;111891048;727059060
2239;111999258;727079426
2240;112107520;728067200
2241;112215834;731731320
2242;112324200;728887652
2243;112432618;730890522
2244;112541088;732360816
2245;112649610;736074885
2246;112758184;733925420
2247;112866810;734634180
2248;112975488;734079904
2249;113084218;737512321
2250;113193000;737617500
2251;113301834;739739377
2252;113410720;739264040
2253;113519658;740047416
2254;113628648;739528384
2255;113737690;741865685
2256;113846784;742436064
2257;113955930;745967841
2258;114065128;744570984
2259;114174378;744839739
2260;114283680;744963800
2261;114393034;748343519
2262;114502440;748654140
2263;114611898;749691166
2264;114721408;749651152
2265;114830970;750897330
2266;114940584;748468864
2267;115050250;752059114
2268;115159968;752191272
2269;115269738;757076809
2270;115379560;754452660
2271;115489434;755598036
2272;115599360;753754176
2273;115709338;759363840
2274;115819368;758674620
2275;115929450;759304000
2276;116039584;761631536
2277;116149770;761144175
2278;116260008;761913548
2279;116370298;762542005
2280;116480640;763777200
2281;116591034;767884964
2282;116701480;765501464
2283;116811978;767622222
2284;116922528;764952712
2285;117033130;767954225
2286;117143784;768576060
2287;117254490;770405681
2288;117365248;769568800
2289;117476058;773524059
2290;117586920;772604780
2291;117697834;774305307
2292;117808800;775241496
2293;117919818;777198592
2294;118030888;776225368
2295;118142010;777231585
2296;118253184;777012320
2297;118364410;780433314
2298;118475688;780327264
2299;118587018;780903629
2300;118698400;781535400
2301;118809834;783460587
2302;118921320;782606336
2303;119032858;783411510
2304;119144448;785295360
2305;119256090;789308065
2306;119367784;785769500
2307;119479530;787658247
2308;119591328;786695648
2309;119703178;789945844
2310;119815080;790384980
2311;119927034;794579575
2312;120039040;791466960
2313;120151098;794786121
2314;120263208;792503348
2315;120375370;795771990
2316;120487584;794990160
2317;120599850;799429876
2318;120712168;797201924
2319;120824538;798385320
2320;120936960;797796960
2321;121049434;803284174
2322;121161960;802905804
2323;121274538;803356121
2324;121387168;803973856
2325;121499850;805858950
2326;121612584;804247064
2327;121725370;805181559
2328;121838208;807359712
2329;121951098;811088224
2330;122064040;809409380
2331;122177034;810507348
2332;122290080;810318696
2333;122403178;812544239
2334;122516328;812880852
2335;122629530;813499990
2336;122742784;814030592
2337;122856090;817639179
2338;122969448;815807692
2339;123082858;818357625
2340;123196320;819856440
2341;123309834;824071797
2342;123423400;820248028
2343;123537018;821005944
2344;123650688;821196960
2345;123764410;824398820
2346;123878184;824248332
2347;123992010;825451635
2348;124105888;825345480
2349;124219818;827233236
2350;124333800;826269400
2351;124447834;829324654
2352;124561920;828285024
2353;124676058;834771457
2354;124790248;832656880
2355;124904490;832443045
2356;125018784;830310944
2357;125133130;835422151
2358;125247528;835264908
2359;125361978;836645299
2360;125476480;836553920
2361;125591034;840338925
2362;125705640;836785740
2363;125820298;840093760
2364;125935008;841186848
2365;126049770;844193845
2366;126164584;843280256
2367;126279450;845291205
2368;126394368;842562816
2369;126509338;848355483
2370;126624360;847568880
2371;126739434;848931808
2372;126854560;849071632
2373;126969738;850105893
2374;127084968;849379216
2375;127200250;850646625
2376;127315584;853150320
2377;127430970;857531274
2378;127546408;854082480
2379;127661898;856237785
2380;127777440;856252600
2381;127893034;859988628
2382;128008680;857634336
2383;128124378;859614824
2384;128240128;860008928
2385;128355930;862888230
2386;128471784;860133912
2387;128587690;863764594
2388;128703648;864632712
2389;128819658;867400509
2390;128935720;866011720
2391;129051834;867392634
2392;129168000;865382544
2393;129284218;870013438
2394;129400488;869979600
2395;129516810;873032585
2396;129633184;870370960
2397;129749610;873032943
2398;129866088;872670568
2399;129982618;874948886
2400;130099200;875044800
2401;130215834;881459922
2402;130332520;878060708
2403;130449258;878452695
2404;130566048;878585072
2405;130682890;881425285
2406;130799784;883194480
2407;130916730;883053683
2408;131033728;883981616
2409;131150778;886752900
2410;131267880;885279760
2411;131385034;886001513
2412;131502240;887480928
2413;131619498;892107817
2414;131736808;889076200
2415;131854170;889106400
2416;131971584;889817632
2417;132089050;894215073
2418;132206568;892865844
2419;132324138;894969525
2420;132441760;894238400
2421;132559434;898856775
2422;132677160;895534500
2423;132794938;899490290
2424;132912768;899497920
2425;133030650;903237325
2426;133148584;901390004
2427;133266570;901878054
2428;133384608;900860840
2429;133502698;904003359
2430;133620840;905772780
2431;133739034;907220028
2432;133857280;908638976
2433;133975578;910080681
2434;134093928;907375728
2435;134212330;909708695
2436;134330784;909967800
2437;134449290;915337200
2438;134567848;913196784
2439;134686458;914020128
2440;134805120;912638080
2441;134923834;917647571
2442;135042600;917327532
2443;135161418;918890476
2444;135280288;918846240
2445;135399210;921288225
2446;135518184;918350700
2447;135637210;921515730
2448;135756288;922509216
2449;135875418;928075489
2450;135994600;924904400
2451;136113834;927813795
2452;136233120;925821256
2453;136352458;928646928
2454;136471848;930488088
2455;136591290;929858255
2456;136710784;929812128
2457;136830330;933534693
2458;136949928;933853192
2459;137069578;933124107
2460;137189280;935287080
2461;137309034;939850978
2462;137428840;937381880
2463;137548698;937225686
2464;137668608;935782848
2465;137788570;942985750
2466;137908584;941523732
2467;138028650;943676840
2468;138148768;943096840
2469;138268938;944414721
2470;138389160;943189260
2471;138509434;947954672
2472;138629760;947616480
2473;138750138;951496642
2474;138870568;950535540
2475;138991050;950211900
2476;139111584;950437360
2477;139232170;952896946
2478;139352808;953450148
2479;139473498;955721433
2480;139594240;955231520
2481;139715034;960092418
2482;139835880;955376404
2483;139956778;958830314
2484;140077728;960771456
2485;140198730;963876830
2486;140319784;961699156
2487;140440890;962755005
2488;140562048;960815840
2489;140683258;966466255
2490;140804520;966035340
2491;140925834;968074839
2492;141047200;968431072
2493;141168618;970043751
2494;141290088;968460104
2495;141411610;970540030
2496;141533184;969705984
2497;141654810;977717829
2498;141776488;974814524
2499;141898218;974954862
2500;142020000;975915000
2501;142141834;979296562
2502;142263720;978567228
2503;142385658;980400070
2504;142507648;979835232
2505;142629690;983052180
2506;142751784;979810916
2507;142873930;984757121
2508;142996128;984896616
2509;143118378;989263574
2510;143240680;987393840
2511;143363034;988532991
2512;143485440;987502368
2513;143607898;991566975
2514;143730408;991461264
2515;143852970;991523660
2516;143975584;992068864
2517;144098250;995176494
2518;144220968;992897760
2519;144343738;995125912
2520;144466560;996337440
2521;144589434;1003665562
2522;144712360;999655228
2523;144835338;1000273626
2524;144958368;999761448
2525;145081450;1002621950
2526;145204584;1003973856
2527;145327770;1004624012
2528;145451008;1005092352
2529;145574298;1008575316
2530;145697640;1007096860
2531;145821034;1011187651
2532;145944480;1009842624
2533;146067978;1013372244
2534;146191528;1012647216
2535;146315130;1013343435
2536;146438784;1011970512
2537;146562490;1015774208
2538;146686248;1017159336
2539;146810058;1018560474
2540;146933920;1017838960
2541;147057834;1021619214
2542;147181800;1019067464
2543;147305818;1021594304
2544;147429888;1022952576
2545;147554010;1027350330
2546;147678184;1024418744
2547;147802410;1026132813
2548;147926688;1025447696
2549;148051018;1030792659
2550;148175400;1028098800
2551;148299834;1031445830
2552;148424320;1030895712
2553;148548858;1034235618
2554;148673448;1032623064
2555;148798090;1033305875
2556;148922784;1034980632
2557;149047530;1039346347
2558;149172328;1037391784
2559;149297178;1038089058
2560;149422080;1037004800
2561;149547034;1044360434
2562;149672040;1041980772
2563;149797098;1044194393
2564;149922208;1044106952
2565;150047370;1045965960
2566;150172584;1044977840
2567;150297850;1046935548
2568;150423168;1047677232
2569;150548538;1053210361
2570;150673960;1051083740
2571;150799434;1052497983
2572;150924960;1049797808
2573;151050538;1054477152
2574;151176168;1055072304
2575;151301850;1058628850
2576;151427584;1057020384
2577;151553370;1061136444
2578;151679208;1055773496
2579;151805098;1059901946
2580;151931040;1061442960
2581;152057034;1066582764
2582;152183080;1064563764
2583;152309178;1064591199
2584;152435328;1064328928
2585;152561530;1068023770
2586;152687784;1067992140
2587;152814090;1068547415
2588;152940448;1070764296
2589;153066858;1071871890
2590;153193320;1070364120
2591;153319834;1074832303
2592;153446400;1072854720
2593;153573018;1081809972
2594;153699688;1077251884
2595;153826410;1078417125
2596;153953184;1076576776
2597;154080010;1083013925
2598;154206888;1082129352
2599;154333818;1083141047
2600;154460800;1084397600
2601;154587834;1088843625
2602;154714920;1085247364
2603;154842058;1086630159
2604;154969248;1089081336
2605;155096490;1093039765
2606;155223784;1089818776
2607;155351130;1091120745
2608;155478528;1090310912
2609;155605978;1096849690
2610;155733480;1095114240
2611;155861034;1098620026
2612;155988640;1097504936
2613;156116298;1099310004
2614;156244008;1098533500
2615;156371770;1100334470
2616;156499584;1100671536
2617;156627450;1107095680
2618;156755368;1104010600
2619;156883338;1107205821
2620;157011360;1104261880
2621;157139434;1109644907
2622;157267560;1108812336
2623;157395738;1109534246
2624;157523968;1110146176
2625;157652250;1115422875
2626;157780584;1110671952
2627;157908970;1115287596
2628;158037408;1116884232
2629;158165898;1120464026
2630;158294440;1119159680
2631;158423034;1119711504
2632;158551680;1116878672
2633;158680378;1124493741
2634;158809128;1122716160
2635;158937930;1123893375
2636;159066784;1125376936
2637;159195690;1125972630
2638;159324648;1125154484
2639;159453658;1127066759
2640;159582720;1130664480
2641;159711834;1136477761
2642;159841000;1132836760
2643;159970218;1133062029
2644;160099488;1131367600
2645;160228810;1135546110
2646;160358184;1135673784
2647;160487610;1139226448
2648;160617088;1138015072
2649;160746618;1141160061
2650;160876200;1137994800
2651;161005834;1143299421
2652;161135520;1143786384
2653;161265258;1147231484
2654;161395048;1144967448
2655;161524890;1145398860
2656;161654784;1144279168
2657;161784730;1151937036
2658;161914728;1149643476
2659;162044778;1151703306
